slide,anchor_text,url
8,https://coolors.co,https://coolors.co
8,https://color.adobe.com/fr/create/color-wheel,https://color.adobe.com/fr/create/color-wheel
8,https://www.schemecolor.com,https://www.schemecolor.com
8,Scheme Color,https://www.schemecolor.com/
10,règles définissant,https://webaim.org/resources/contrastchecker
12,https://fontjoy.com/,https://fontjoy.com/
12,https://www.fontpair.co/,https://www.fontpair.co/
12,https://fonts.google.com/,https://fonts.google.com/
13,open-dyslexic,https://www.dafont.com/fr/open-dyslexic.font
31,https://dribbble.com/,https://dribbble.com/
31,https://www.awwwards.com/,https://www.awwwards.com/
